SampleID,sequencing_well,batch,project,field,sample_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,year_start,date,days,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_cu,extractable_co
1_demultiplex.bc1005--bc1033.hifi_reads,A1,1,sample,4QG.01,4QG.01.01,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1035.hifi_reads,A2,1,sample,4QG.01,4QG.01.09,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1044.hifi_reads,A3,1,sample,4QG.01,4QG.01.17,51.261,-0.352722,28,8,2024,01/01/2024,28/04/2024,118,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1045.hifi_reads,A4,1,sample,8JF.01,8JF.01.04,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1054.hifi_reads,A5,1,sample,8JF.01,8JF.01.12,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1056.hifi_reads,A6,1,sample,8JF.01,8JF.01.20,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1057.hifi_reads,A7,1,sample,5RJ.01,5RJ.01.07,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1059.hifi_reads,A8,1,sample,5RJ.01,5RJ.01.15,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1060.hifi_reads,A9,1,sample,2JJ.01,2JJ.01.02,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1062.hifi_reads,A10,1,sample,2JJ.01,2JJ.01.10,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
