site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,previous_wheat_cultivars,takeall_seen,takeall_evidence_description,takeall_evidence_duration,fertiliser_use,fertiliser_nitrogen ,fertiliser_phosphous,fertiliser_potassium,fertiliser_micronutrients,fertiliser_others,fertiliser_rate_monthly,fertiliser_rate_6months,fertiliser_rate_yearly,fertiliser_rate_2years,fertiliser_rate_other,manure_any,manure_rate_monthly,manure_rate_6months,manure_rate_yearly,manure_rate_2years,manure_rate_other,pesticides_insecticides,fungicides,herbicides,pest_herb_insecticides_brands,any_field_tilling,tilling_method,other_info_any,other_info_description,texture,carbon,fertility (%)
5DA.1,53.03952,-0.69002,5,8,2024,group_1,,oats,vetch,2nd_wheat,,wheat_group3,,OSR,,Crusoe; skyscraper; firefly,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Clayey_ some loamy,Low,100
5BY.1,53.02619,-0.6952,5,8,2024,group_2,,oats,vetch,wheat_group2,,maize,,forage_rye,,Extase; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy and clayey,Low,60
232,53.024763,-0.690409,5,8,2024,group_1,,oats,vetch,2nd_wheat,,wheat_group3,,OSR,,Crusoe; skyscraper; firefly,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Clayey_ some loamy,Low,100
231,53.034143,-0.6864,5,8,2024,group_1,,oats,vetch,wheat_group2,,maize,,OSR,,Crusoe; Extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Clayey_ some loamy,Low,100
5LY.1,53.21982,-0.14094,6,8,2024,group_1,,vining_peas,,wheat_group2,,maize_forage,,feed_barley,,Crusoe; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy  ,Low,60
5LY.2,53.21567,-0.14249,6,8,2024,group_1,,combining_peas,,wheat_group2,,maize_forage,,malting_barley,,Crusoe; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy  ,Low,60
5RJ.1,53.217778,-0.16375,6,8,2024,group_1,,combining_peas,,wheat_group2,,maize_forage,,spring_malting_barley,,Crusoe; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy and clayey,Low,60
5RJ.2,53.218306,-0.16975,6,8,2024,feed_wheat,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Champion; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy and clayey,Low,60
226,53.21363,-0.152588,6,8,2024,group_1,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Crusoe; extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Clayey_ some loamy,Low,100
217,53.216194,-0.159944,6,8,2024,feed_wheat,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Crusoe; Extase,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy and clayey,Low,60
